,,rmse_reconstruction,rmse_reconstruction,rmse_reconstruction,rmse_reconstruction,rmse_denoising,rmse_denoising,rmse_denoising,rmse_denoising
,,mean,std,min,max,mean,std,min,max
group,task,,,,,,,,
B,1,6.660203003442e-06,1.938332594626e-06,4.706482310870e-06,9.818282159361e-06,5.409047462818e-06,2.192538664637e-07,5.075136871335e-06,5.676136697867e-06
B,2,7.434049543333e-06,2.013449035876e-06,4.754420225034e-06,1.135354237176e-05,5.379779036930e-06,2.290490245108e-07,5.094652018749e-06,5.798727385020e-06
G,1,6.940233662031e-06,1.401314807814e-06,4.696513137754e-06,1.007260142916e-05,5.390704462977e-06,2.165659429264e-07,5.170489671963e-06,6.305191668230e-06
G,2,7.436947775034e-06,1.931504213718e-06,4.073783432976e-06,1.099980346761e-05,5.475157767899e-06,2.464014897660e-07,5.117807129212e-06,6.400160481413e-06
